center cam,left cam,right cam,angle,forward,reverse,speed
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_28_397.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_28_397.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_28_397.jpg,0,1,0,30.19031
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_28_486.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_28_486.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_28_486.jpg,0,1,0,30.19032
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_28_555.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_28_555.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_28_555.jpg,0,1,0,30.19031
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_28_624.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_28_624.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_28_624.jpg,0,1,0,30.19031
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_28_692.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_28_692.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_28_692.jpg,0,1,0,30.19023
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_28_766.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_28_766.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_28_766.jpg,0,1,0,30.19059
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_28_834.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_28_834.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_28_834.jpg,0,1,0,30.18915
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_28_903.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_28_903.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_28_903.jpg,0,1,0,30.18974
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_28_971.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_28_971.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_28_971.jpg,0,1,0,30.18993
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_29_039.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_29_039.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_29_039.jpg,0,1,0,30.18967
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_29_106.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_29_106.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_29_106.jpg,-0.2206573,1,0,30.17809
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_29_173.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_29_173.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_29_173.jpg,-0.2723005,1,0,30.17533
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_29_243.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_29_243.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_29_243.jpg,-0.4131455,1,0,30.16011
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_29_329.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_29_329.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_29_329.jpg,-0.5070422,1,0,30.16027
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_29_415.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_29_415.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_29_415.jpg,-0.3755869,1,0,30.18951
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_29_503.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_29_503.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_29_503.jpg,-0.1784038,1,0,30.19406
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_29_570.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_29_570.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_29_570.jpg,-0.03286385,1,0,30.18927
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_29_642.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_29_642.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_29_642.jpg,0.1690141,1,0,30.17123
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_29_730.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_29_730.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_29_730.jpg,0.4272301,1,0,30.1435
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_29_797.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_29_797.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_29_797.jpg,0.4272301,1,0,30.15985
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_29_885.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_29_885.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_29_885.jpg,0.4272301,1,0,30.17591
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_29_953.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_29_953.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_29_953.jpg,0.4272301,1,0,30.17826
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_30_023.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_30_023.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_30_023.jpg,0.2253521,1,0,30.1931
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_30_096.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_30_096.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_30_096.jpg,-0.03755869,1,0,30.17907
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_01_17_48_30_164.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_01_17_48_30_164.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_01_17_48_30_164.jpg,-0.05633803,1,0,30.18484
