center cam,left cam,right cam,angle,throttle,brake,speed
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_49_396.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_49_396.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_49_396.jpg,0,0,0,0.000156123
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_49_467.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_49_467.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_49_467.jpg,0,0,0,0.000240252
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_49_535.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_49_535.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_49_535.jpg,0,0,0,3.48E-05
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_49_605.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_49_605.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_49_605.jpg,0,0,0,0.000284328
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_49_674.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_49_674.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_49_674.jpg,0,0,0,4.45E-05
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_49_744.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_49_744.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_49_744.jpg,0,0,0,1.75E-05
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_49_813.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_49_813.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_49_813.jpg,0,0,0,7.78E-05
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_49_882.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_49_882.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_49_882.jpg,0,0,0,8.36E-05
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_49_951.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_49_951.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_49_951.jpg,0,0,0,0.00010612
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_50_024.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_50_024.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_50_024.jpg,0,0.3125151,0,0.128946
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_50_092.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_50_092.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_50_092.jpg,0,0.6707819,0,0.4924143
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_50_160.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_50_160.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_50_160.jpg,0,0.6901477,0,1.107394
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_50_226.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_50_226.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_50_226.jpg,0,0.6998306,0,1.587725
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_50_294.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_50_294.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_50_294.jpg,0,0.6998306,0,2.091097
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_50_363.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_50_363.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_50_363.jpg,0,0.6998306,0,2.731216
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_50_429.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_50_429.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_50_429.jpg,0,0.6998306,0,3.230221
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_50_497.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_50_497.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_50_497.jpg,0,0.6998306,0,3.883179
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_50_584.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_50_584.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_50_584.jpg,0,0.6998306,0,4.527849
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_50_651.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_50_651.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_50_651.jpg,0,0.6998306,0,5.008599
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_50_722.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_50_722.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_50_722.jpg,0,0.6998306,0,5.64583
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_50_791.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_50_791.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_50_791.jpg,0,0.7095134,0,6.124677
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_50_859.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_50_859.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_50_859.jpg,0,0.6804648,0,6.750119
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_50_928.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_50_928.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_50_928.jpg,0,0.6804648,0,7.20417
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_50_997.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_50_997.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_50_997.jpg,0,0.6804648,0,7.805503
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_51_066.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_51_066.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_51_066.jpg,0,0.6804648,0,8.253323
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_51_135.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_51_135.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_51_135.jpg,0,0.661099,0,8.690463
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_51_203.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_51_203.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_51_203.jpg,0,0.661099,0,9.261258
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_51_271.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_51_271.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_51_271.jpg,0,0.661099,0,9.686329
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_51_339.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_51_339.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_51_339.jpg,0,0.6804648,0,10.26163
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_51_406.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_51_406.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_51_406.jpg,0,0.6901477,0,10.69869
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_51_478.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_51_478.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_51_478.jpg,0,0.6998306,0,11.28766
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_51_545.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_51_545.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_51_545.jpg,0,0.6998306,0,11.91604
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_51_612.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_51_612.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_51_612.jpg,0,0.6998306,0,12.24467
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_51_680.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_51_680.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_51_680.jpg,0,0.6998306,0,12.33245
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_51_749.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_51_749.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_51_749.jpg,0,0.6998306,0,12.97173
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_51_818.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_51_818.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_51_818.jpg,0,0.6998306,0,13.74425
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_51_887.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_51_887.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_51_887.jpg,0,0.6998306,0,14.11416
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_51_955.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_51_955.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_51_955.jpg,0,0.6998306,0,14.54891
C:\Users\Roble\Desktop\Programming Project\IMG\center_2018_03_05_00_52_52_027.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\left_2018_03_05_00_52_52_027.jpg,C:\Users\Roble\Desktop\Programming Project\IMG\right_2018_03_05_00_52_52_027.jpg,0,0.6998306,0,15.19237
